Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
3A7,0200,3A7,0000,000,0000,000,0000,0000,004,0100
3A7,0200,3A8,0200,3A7,0200,000,03A7,0000,004,0100
3A8,AEF9,3A9,AEF9,3A2,05D3,000,FFF9,05D3,000,0000
3A9,EEF9,3AA,EEF9,3A3,05D3,000,FFF9,05D3,000,0000,3A3,05D3
3AA,AAF8,3AB,AAF8,5D3,0D00,000,FFF8,0D00,000,0000,3A3,05D4
3AB,EEF9,3AC,EEF9,3A5,0D00,000,FFF9,0D00,000,0000,3A5,0D00
3AC,0680,3AD,0680,3AC,0680,000,03AC,000D,000,0000
3AD,EEF6,3AE,EEF6,3A4,000D,000,FFF6,000D,000,0000,3A4,000D
3AE,1207,3AF,1207,3AE,1207,000,03AE,0040,000,0000
3AF,2F40,3B0,2F40,3AF,0040,000,0040,0040,000,0000
3B0,F0FD,3B1,F0FD,3B0,F0FD,000,03B0,0040,000,0000
3B1,AEF2,3B2,AEF2,3A4,000D,000,FFF2,000D,000,0000
3B2,7EF3,3B3,7EF3,3A6,000D,000,FFF3,000D,005,0101
3B3,1306,3B4,1306,3B3,1306,000,03B3,000D,005,0101
3B4,F008,3BD,F008,3B4,F008,000,0008,000D,005,0101
3BD,0100,3BE,0100,3BD,0100,000,03BD,000D,005,0101
