X1,X2,X3,X4
114.77,70.15,64.95,47.74
36.73,55.19,68.92,95.06
123.57,60.29,64.48,46.68
50.05,76.89,73.77,82.60
36.52,75.71,72.21,43.82
164.70,56.69,50.45,37.92
54.56,59.09,64.04,48.63
305.38,75.06,67.24,102.33
59.72,64.13,58.21,95.77
93.70,58.40,69.20,50.49
253.35,44.16,65.67,49.66
233.38,46.80,61.03,46.58
37.65,46.28,62.47,91.69
101.07,49.16,69.17,62.59
116.12,28.67,73.82,49.50
27.13,31.33,66.70,113.00
148.65,25.84,75.25,69.55
34.78,33.54,66.86,93.13
124.91,25.40,77.85,103.45
201.55,27.58,63.15,90.34
318.71,25.57,72.79,86.10
326.12,32.21,66.04,65.10
316.03,38.86,72.13,33.91
42.42,67.88,73.46,110.43
241.91,35.96,62.43,46.31
74.28,54.61,60.03,49.25
55.71,64.49,72.07,93.63
30.26,76.19,57.23,91.04
70.58,55.71,65.59,108.79
193.53,39.65,80.72,110.46
54.57,72.77,61.36,107.30
135.72,53.89,66.85,53.82
289.44,53.37,65.94,113.84
34.88,62.92,61.92,66.54
159.63,25.09,73.31,63.07
156.71,26.82,68.70,58.28
32.19,33.67,69.20,53.49
68.24,34.10,77.60,102.43
141.41,48.14,71.58,94.52
59.45,38.97,67.66,101.24
40.82,79.61,74.88,53.41
27.67,72.89,64.09,114.14
63.44,63.04,58.22,50.06
145.54,63.16,75.25,41.94
89.76,35.63,83.17,43.96
45.76,68.40,67.08,91.68
75.26,70.55,71.47,100.26
50.83,57.99,78.70,96.07
287.05,64.07,58.21,95.71
116.52,26.11,73.28,48.31
117.80,58.50,73.87,45.41
110.01,58.36,47.76,58.12
53.66,42.88,67.31,63.56
19.97,46.30,76.19,56.18
240.58,45.68,68.23,99.40
31.47,58.16,76.77,104.94
105.47,74.95,53.94,114.95
64.03,43.72,54.20,100.74
28.34,43.82,70.33,90.59
44.83,57.16,70.28,94.96
49.73,79.18,62.86,53.14
75.51,46.08,63.07,99.49
75.14,48.61,81.24,56.90
251.14,56.85,66.53,89.94
167.08,26.27,60.02,47.08
34.56,50.05,64.11,50.99
100.86,60.83,59.45,37.94
220.78,75.71,71.76,86.37
120.46,25.91,67.41,100.17
60.80,36.01,54.76,64.97
130.73,40.13,75.61,97.84
29.05,37.02,60.01,92.52
119.60,33.95,63.49,50.22
66.16,66.94,63.57,107.60
90.77,59.92,65.89,54.54
79.81,72.31,70.43,73.32
80.62,79.04,71.23,91.21
28.96,47.14,81.32,65.47
82.34,31.36,73.48,62.46
20.15,69.32,69.05,40.09
81.79,47.12,60.72,88.73
279.98,63.59,65.72,91.85
43.29,37.08,74.96,95.65
166.44,58.52,59.95,116.79
23.65,71.02,65.71,46.42
188.10,61.52,66.42,103.59
35.70,47.75,64.96,102.21
147.84,33.83,60.98,83.12
125.87,66.23,62.94,105.37
30.76,66.12,58.88,59.89
26.34,29.00,59.02,92.51
121.09,40.18,58.24,54.13
104.46,74.09,71.58,46.19
380.89,28.79,68.40,74.55
80.10,30.19,53.52,64.44
27.64,39.57,77.68,104.92
42.58,60.86,53.51,101.07
150.26,35.54,69.05,69.44
138.28,63.20,56.77,99.26
152.20,55.66,68.85,88.47
24.44,46.11,71.35,55.91
25.72,48.91,61.85,107.42
497.16,32.08,75.48,79.57
126.72,30.08,78.69,62.15
74.86,26.01,81.72,100.87
98.57,60.93,67.10,48.36
25.99,51.39,62.14,48.74
579.58,75.70,70.58,46.64
22.28,79.85,62.03,98.73
74.93,31.91,85.21,108.20
22.09,46.91,66.51,61.19
230.06,49.82,70.88,65.22
31.31,74.19,69.04,40.30
25.77,45.42,71.96,91.46
49.14,79.62,78.32,81.80
34.41,60.36,79.88,99.85
223.36,54.58,51.23,97.91
47.06,61.44,70.91,91.76
36.87,63.18,67.57,43.05
56.43,79.51,64.07,47.74
196.50,57.07,75.71,90.48
50.89,33.83,77.08,96.20
