X1;X2;X3;X4
73.16;66.05;68.98;8.96
63.22;78.85;70.05;0.40
73.05;75.53;79.66;11.63
76.13;65.02;85.32;8.64
86.93;68.68;72.84;12.41
59.80;74.83;91.30;7.17
63.75;54.46;64.83;1.46
57.96;64.32;87.30;9.94
79.60;76.24;78.46;0.29
69.52;50.33;86.63;12.60
65.10;84.60;87.14;14.58
73.36;83.87;72.15;13.45
83.36;67.30;74.45;3.69
68.88;67.81;93.78;10.93
60.02;60.71;63.50;2.90
68.02;75.08;73.81;4.27
58.29;66.78;72.75;9.09
56.33;68.55;74.66;4.39
65.10;48.16;71.34;1.23
63.37;74.37;92.85;21.18
83.05;70.35;78.24;1.88
53.54;54.04;77.40;5.89
70.53;70.19;73.63;1.71
66.26;85.57;75.82;3.60
64.18;58.31;69.12;14.88
52.18;86.37;73.23;1.62
65.36;75.36;78.68;2.51
75.30;75.55;72.96;5.95
80.77;75.61;63.13;1.44
53.59;79.47;68.80;7.64
65.63;69.80;84.94;17.71
79.85;79.62;66.53;0.16
78.03;53.39;69.44;23.01
77.56;59.18;74.91;3.66
69.03;78.06;67.27;4.49
65.29;61.04;88.10;13.45
49.14;67.87;94.19;5.44
72.39;65.48;64.29;2.92
56.60;87.66;79.07;8.09
79.58;64.92;81.64;4.67
64.92;78.30;76.11;4.43
63.54;61.06;66.26;1.85
61.33;62.93;71.28;4.83
69.19;64.58;75.70;1.34
63.93;84.86;84.43;2.21
71.92;74.62;57.97;6.20
58.05;63.96;71.05;1.91
67.87;72.94;65.39;5.73
68.87;66.92;64.71;0.34
72.29;58.85;76.82;12.37
58.35;70.52;67.36;0.91
65.62;78.59;54.32;4.20
64.95;58.33;86.58;1.36
84.58;50.47;67.25;15.89
49.78;70.13;86.92;1.85
74.33;73.02;74.66;9.61
62.35;56.64;58.22;15.59
81.39;82.62;81.99;5.67
59.35;90.79;83.99;8.59
55.52;66.93;88.30;0.56
60.49;68.51;71.22;15.33
75.24;67.14;92.91;0.03
59.55;77.59;96.91;0.21
69.01;76.78;63.37;1.62
71.12;70.75;72.46;10.07
65.74;69.81;77.60;3.01
80.07;51.57;51.83;2.21
75.30;71.82;70.24;9.00
75.74;65.03;57.04;9.63
61.34;54.89;73.13;1.10
68.90;72.88;70.36;0.94
71.94;78.97;73.14;0.48
59.91;80.06;67.03;5.23
67.40;68.40;57.99;10.00
75.79;71.55;80.60;19.07
58.79;56.91;79.85;3.91
74.67;57.65;73.19;1.91
69.64;71.27;71.66;9.85
62.12;60.23;53.26;0.04
78.18;77.46;78.86;23.87
55.37;68.72;87.16;1.28
65.70;61.29;57.94;8.46
48.44;73.40;75.29;2.08
67.86;62.67;67.03;19.88
70.03;77.00;70.06;5.63
69.33;59.00;50.13;9.85
73.36;54.51;73.25;10.89
54.70;60.66;68.95;3.88
66.87;63.26;76.40;0.57
63.06;78.56;71.86;0.77
67.30;59.43;84.41;38.20
49.21;65.79;81.77;4.84
71.55;72.67;94.54;9.73
72.56;80.16;73.41;2.39
56.02;75.48;77.12;12.39
69.59;66.08;93.31;8.37
77.01;74.33;72.90;4.86
70.99;60.16;90.39;7.13
73.01;66.92;60.27;15.14
65.86;78.56;95.36;0.80
79.10;82.92;49.17;1.28
63.82;79.63;73.76;7.13
49.51;62.31;76.34;3.77
70.67;59.40;78.31;4.64
60.29;61.51;82.71;8.48
70.15;74.64;83.87;3.21
