i,x,y
1,376.000000,361.000000
2,408.000000,419.000000
3,442.000000,385.000000
4,443.000000,381.000000
5,445.000000,389.000000
6,448.000000,390.000000
7,456.000000,418.000000
8,459.000000,420.000000
9,463.000000,428.000000
10,465.000000,407.000000
11,469.000000,359.000000
12,470.000000,391.000000
13,470.000000,389.000000
14,471.000000,433.000000
15,472.000000,394.000000
16,474.000000,401.000000
17,476.000000,418.000000
18,477.000000,424.000000
19,478.000000,400.000000
20,481.000000,437.000000
21,483.000000,405.000000
22,484.000000,425.000000
23,485.000000,444.000000
24,488.000000,380.000000
25,561.000000,695.000000
26,670.000000,681.000000
27,968.000000,641.000000
28,1146.000000,737.000000
29,1171.000000,1891.000000
30,1213.000000,2020.000000
31,1223.000000,623.000000
32,1363.000000,1134.000000
33,1372.000000,1362.000000
34,1457.000000,994.000000
35,1499.000000,1665.000000
36,1511.000000,1425.000000
37,1538.000000,1280.000000
38,1573.000000,1710.000000
39,1759.000000,944.000000
40,1761.000000,1958.000000
41,1765.000000,1944.000000
42,1798.000000,1562.000000
43,1851.000000,2069.000000
44,1911.000000,1795.000000
45,1948.000000,3103.000000
46,1953.000000,3064.000000
47,1958.000000,3144.000000
48,2079.000000,1462.000000
49,2225.000000,1423.000000
50,2277.000000,1719.000000
51,2281.000000,1817.000000
52,2327.000000,2056.000000
53,2342.000000,2126.000000
54,2381.000000,2170.000000
